SDG	Author(s)	Faculty	Year	Citation	Citation 2	Abstract
SDG 1.00	"Berndt, Christian"	MNF	2016	"Behave, global south! Economics, experiments, evidence: editorial. Geoforum, 70:22-24."	"Behave, global south! Economics, experiments, evidence: editorial. Geoforum, 70:22-24."	
SDG 1.00	"Berndt, Christian"	MNF	2015	"Behavioural economics, experimentalism and the marketization of development. Economy and Society, 44(4):567-591."	"Behavioural economics, experimentalism and the marketization of development. Economy and Society, 44(4):567-591."	"Using market-based pro-poor development policy in the global South as an example, this paper engages with the rise of behaviourism and experimentalism as a challenge to the neoclassical orthodoxy and the more recent transformation into an influential policy script. After charting the rise of behavioural economics and discussing the key conceptual building blocks of the emerging behavioural mainstream in economics, the paper turns to the marketization of anti-poverty policy in the global South. Based on an analysis of policy documents, project reports and academic interventions, it is argued that the behavioural approach to poverty shifts the focus from the market to the market subject and engages in often thinly veiled attempts at behavioural engineering. This is achieved with the combined work of behavioural economic knowledge and socio-technical market devices."
SDG 1.00	"Müller-Böker, Ulrike"	MNF	2014	"“Investors are good, if they follow the rules” – power relations and local perceptions in the case of two European forestry companies in Tanzania. Geographica Helvetica, 69(4):249-258."	"“Investors are good, if they follow the rules” – power relations and local perceptions in the case of two European forestry companies in Tanzania. Geographica Helvetica, 69(4):249-258."	"The rapidly increasing interest of foreign investors in land in the global South, also termed land grabbing, has been widely discussed as potentially supportive, but often rather harmful for local populations. Combining a critical livelihoods perspective with access theory and a bargaining model, this study scrutinizes local people’s perceptions of the land investments, power relations during land negotiations and intra-community differences. By analysing two European forestry companies in Tanzania, we have chosen a sector and a country with presumably more positive outcomes for local populations. The deals resulted in not only labour opportu- nities and infrastructural improvements, which are mainly perceived as positive, but also cases of violated land rights, inadequate compensation and decreased food security. Hence, even under favourable preconditions, the consequences for local people are ambivalent. With this study, we contribute to a differentiated analysis of the contested role of large-scale land deals in contemporary rural development."
SDG 1.00	"Müller-Böker, Ulrike"	MNF	2014	"Negotiating access to land in Nepal. Journal of Contemporary Asia, 44(3):521-539."	"Negotiating access to land in Nepal. Journal of Contemporary Asia, 44(3):521-539."	"In a rural agrarian economy like that of Nepal, land has traditionally been a primary source of livelihood and security, as well as a symbol of status. Thousands of poor farmers are completely dependent on land for their livelihoods, yet not all of them have access to or control over this fundamental resource. Negotiation for access to land has been a lengthy and complicated process. It remains so in the changed political context of Nepal, where increasing numbers of emerging actors need to be considered, often with conflicting claims and counterclaims. In this context the traditional ways of thinking need to be revised, both with regard to the negotiating process and the mechanisms of land reform, to accommodate the country’s recent and ongoing massive socio-economic transformation."
SDG 1.00	"Derks, Annuska"	PHF	2015	"Fuelling change: A biography of the beehive coal briquette in post-Đổi Mới Vietnam. Journal of Material Culture, 20(3):331-349."	"Fuelling change: A biography of the beehive coal briquette in post-Đổi Mới Vietnam. Journal of Material Culture, 20(3):331-349."	
SDG 1.00	"Fehr, Ernst"	WWF	2014	"On the psychology of poverty. Science, 344(6186):862-867."	"On the psychology of poverty. Science, 344(6186):862-867."	"Poverty remains one of the most pressing problems facing the world; the mechanisms through which poverty arises and perpetuates itself, however, are not well understood. Here, we examine the evidence for the hypothesis that poverty may have particular psychological consequences that can lead to economic behaviors that make it difficult to escape poverty. The evidence indicates that poverty causes stress and negative affective states which in turn may lead to short-sighted and risk-averse decision-making, possibly by limiting attention and favoring habitual behaviors at the expense of goal-directed ones. Together, these relationships may constitute a feedback loop that contributes to the perpetuation of poverty. We conclude by pointing toward specific gaps in our knowledge and outlining poverty alleviation programs that this mechanism suggests."
SDG 1.00	"Lichand, Guilherme"	WWF	2018	"Im Maschinenraum der Welt. In: UZH Magazin : die Zeitschrift der Universität Zürich : die Wissenschaftszeitschrift, 2, Juni 2018, p.24-28."	"Im Maschinenraum der Welt. In: UZH Magazin : die Zeitschrift der Universität Zürich : die Wissenschaftszeitschrift, 2, Juni 2018, p.24-28."	"Kann Armut bekämpft werden, indem man das Verhalten der Betroffenen gezielt beeinflusst? Oder wird sie damit nur perpetuiert? Christian Berndt und Guilherme Lichand diskutieren über die Wirkung solcher sozialer Interventionen."
SDG 1.00	"Pomeranz, Dina"	WWF	2018	«Die Armut hat sich weltweit massiv verringert» : ungerecht verteilter Reichtum. : Radio SRF 4 News.	«Die Armut hat sich weltweit massiv verringert» : ungerecht verteilter Reichtum. : Radio SRF 4 News.	"Die 42 reichsten Menschen auf der Welt besitzen mehr als die ärmere Hälfte der Menschheit. Dies zeigt eine Studie der Entwicklungshilfe-Organisation Oxfam. Demnach sind die Steuergeschenke an die Konzerne schuld an dieser ungerechten Verteilung. Doch an der Studie gibt es auch Kritik, etwa von Professorin Dina Pomeranz."
SDG 1.00	"Pomeranz, Dina"	WWF	2018	"Saving more in groups: field experimental evidence from Chile. Journal of Development Economics, 133:275-294."	"Saving more in groups: field experimental evidence from Chile. Journal of Development Economics, 133:275-294."	"We test the impact of a peer group program on savings in a sample of microcredit clients. We conduct two randomized trials among these 2687 microcredit clients. The first finds that a Savings Group Treatment, which combines public goal setting, monitoring in the group and non-financial rewards, increases savings in a new savings account significantly. The number of deposits grows 3.7-fold and the average balance almost doubles. In contrast, a more classical measure, a substantially increased interest rate, has no effect for most participants and raises the savings balance only for the very top of the distribution. A second experiment, conducted a year later, tests an alternative delivery mechanism and shows that effects of similar size can be achieved through feedback text messages, without meetings, rewards, or peer pressure. Given that participants are borrowing at 90% APR, we discuss how and when saving more could be harmful or beneficial."
SDG 1.00	"Pomeranz, Dina"	WWF	2017	"Daten gegen Armut. In: Die Zeit, 22 Dezember 2017, p.online."	"Daten gegen Armut. In: Die Zeit, 22 Dezember 2017, p.online."	"Neue Methoden zeigen Spendern, wofür sich das Geldgeben wirklich lohnt. Ein Gastbeitrag von Johannes Haushofer, Dina Pomeranz, Max Roser und Frank Schilbach"
