	sdg	author	faculty	year	abstract
1	1	Berndt, Christian	MNF	2015	Behavioural economics, experimentalism and the marketization of development. Using market-based pro-poor development policy in the global South as an example, this paper engages with the rise of behaviourism and experimentalism as a challenge to the neoclassical orthodoxy and the more recent transformation into an influential policy script. After charting the rise of behavioural economics and discussing the key conceptual building blocks of the emerging behavioural mainstream in economics, the paper turns to the marketization of anti-poverty policy in the global South. Based on an analysis of policy documents, project reports and academic interventions, it is argued that the behavioural approach to poverty shifts the focus from the market to the market subject and engages in often thinly veiled attempts at behavioural engineering. This is achieved with the combined work of behavioural economic knowledge and socio-technical market devices.
2	1	Müller-Böker, Ulrike	MNF	2014	“Investors are good, if they follow the rules” – power relations and local perceptions in the case of two European forestry companies in Tanzania. The rapidly increasing interest of foreign investors in land in the global South, also termed land grabbing, has been widely discussed as potentially supportive, but often rather harmful for local populations. Combining a critical livelihoods perspective with access theory and a bargaining model, this study scrutinizes local people’s perceptions of the land investments, power relations during land negotiations and intra-community differences. By analysing two European forestry companies in Tanzania, we have chosen a sector and a country with presumably more positive outcomes for local populations. The deals resulted in not only labour opportu- nities and infrastructural improvements, which are mainly perceived as positive, but also cases of violated land rights, inadequate compensation and decreased food security. Hence, even under favourable preconditions, the consequences for local people are ambivalent. With this study, we contribute to a differentiated analysis of the contested role of large-scale land deals in contemporary rural development.
3	1	Müller-Böker, Ulrike	MNF	2014	Negotiating access to land in Nepal. In a rural agrarian economy like that of Nepal, land has traditionally been a primary source of livelihood and security, as well as a symbol of status. Thousands of poor farmers are completely dependent on land for their livelihoods, yet not all of them have access to or control over this fundamental resource. Negotiation for access to land has been a lengthy and complicated process. It remains so in the changed political context of Nepal, where increasing numbers of emerging actors need to be considered, often with conflicting claims and counterclaims. In this context the traditional ways of thinking need to be revised, both with regard to the negotiating process and the mechanisms of land reform, to accommodate the country’s recent and ongoing massive socio-economic transformation.
5	1	Fehr, Ernst	WWF	2014	On the psychology of poverty. Poverty remains one of the most pressing problems facing the world; the mechanisms through which poverty arises and perpetuates itself, however, are not well understood. Here, we examine the evidence for the hypothesis that poverty may have particular psychological consequences that can lead to economic behaviors that make it difficult to escape poverty. The evidence indicates that poverty causes stress and negative affective states which in turn may lead to short-sighted and risk-averse decision-making, possibly by limiting attention and favoring habitual behaviors at the expense of goal-directed ones. Together, these relationships may constitute a feedback loop that contributes to the perpetuation of poverty. We conclude by pointing toward specific gaps in our knowledge and outlining poverty alleviation programs that this mechanism suggests.
8	1	Pomeranz, Dina	WWF	2018	Saving more in groups: field experimental evidence from Chile. We test the impact of a peer group program on savings in a sample of microcredit clients. We conduct two randomized trials among these 2687 microcredit clients. The first finds that a Savings Group Treatment, which combines public goal setting, monitoring in the group and non-financial rewards, increases savings in a new savings account significantly. The number of deposits grows 3.7-fold and the average balance almost doubles. In contrast, a more classical measure, a substantially increased interest rate, has no effect for most participants and raises the savings balance only for the very top of the distribution. A second experiment, conducted a year later, tests an alternative delivery mechanism and shows that effects of similar size can be achieved through feedback text messages, without meetings, rewards, or peer pressure. Given that participants are borrowing at 90% APR, we discuss how and when saving more could be harmful or beneficial.
10	1	Pomeranz, Dina	WWF	2016	Saving more in groups: field experimental evidence from Chile. We test the impact of a peer group savings program on precautionary savings, through two randomized field experiments among 2,687 microcredit clients. The first experiment finds that the Peer Group Treatment, which combines public goal setting, monitoring in the group, and non-financial rewards, increases savings in a new savings account significantly. The number of deposits grows 3.7-fold, and the average savings balance almost doubles. In contrast, a more classical measure, a substantially increased interest rate, has no effect for most participants and raises the savings balance only for the very top of the distribution. A second experiment, conducted a year later, tests an alternative delivery mechanism and shows that effects of similar size can be achieved through feedback text messages, without meetings, rewards, or peer pressure.
11	2	Jaeggi, Adrian V	MNF	2019	The evolution of daily food sharing: A Bayesian phylogenetic analysis. Some human subsistence economies are characterized by extensive daily food sharing networks, which may buffer the risk of shortfalls and facilitate cooperative production and divisions of labor among households. Comparative studies of human food sharing can assess the generalizability of this theory across time, space, and diverse lifeways. Here we test several predictions about daily sharing norms–which presumably reflect realized cooperative behavior–in a globally representative sample of nonindustrial societies (the Standard Cross-Cultural Sample), while controlling for multiple sources of autocorrelation among societies using Bayesian multilevel models. Consistent with a risk-buffering function, we find that sharing is less likely in societies with alternative means of smoothing production and consumption such as animal husbandry, food storage, and external trade. Further, food sharing was tightly linked to labor sharing, indicating gains to cooperative production and perhaps divisions of labor. We found a small phylogenetic signal for food sharing (captured by a supertree of human populations based on genetic and linguistic data) that was mediated by food storage and social stratification. Food sharing norms reliably emerge as part of cooperative economies across time and space but are culled by innovations that facilitate self-reliant production.
12	2	Keller, Beat	MNF	2019	Influence of temperature, humidity duration and growth stage on the infection and mycotoxin production by Fusarium langsethiae and Fusarium poae in oats. High occurrence of Fusarium poae (FP) and Fusarium langsethiae (FL) and their mycotoxins nivalenol (NIV) and T‐2/HT‐2 have been observed in Swiss oats. Early prediction of mycotoxin levels is important for farmers and the cereal industry to minimize the risk of contaminated food and feed. Therefore, climate chamber experiments were conducted to investigate the influence of different temperatures (10, 15, 20 °C) and durations (4, 8, 12 h) at 99% relative humidity (RH) on the infection of oats with FP and FL. In addition, to discover the most susceptible period of oats, artificial FL inoculations were conducted at different growth stages. Field experiments were performed to observe the dispersal of these fungal species within the field and to investigate the weather conditions that influence the dispersal. The climate chamber experiments revealed higher contamination with NIV and T‐2/HT‐2 in the 10 °C treatments and with a prolonged humidity duration of 12 h 99% RH. Inoculations of oat plants at early (DC 61) and mid (DC 65) anthesis, led to higher FL infection and T‐2/HT‐2 accumulation in the grains compared with treatments at earlier growth stages, which might be due to an increased susceptibility during anthesis. No indication for spore dispersal was observed in the field experiments. The results obtained, together with the cropping factors that influence infection and mycotoxin production, could be used as a first step in developing forecasting models to predict the contamination of oats with the mycotoxins NIV and T‐2/HT‐2.
13	2	Keller, Beat	MNF	2019	A chromosome-scale genome assembly reveals a highly dynamic effector repertoire of wheat powdery mildew. Blumeria graminis f. sp. tritici (B.g. tritici) is the causal agent of the wheat powdery mildew disease. The highly fragmented B.g. tritici genome available so far has prevented a systematic analysis of effector genes that are known to be involved in host adaptation. To study the diversity and evolution of effector genes we produced a chromosome‐scale assembly of the B.g. tritici genome. The genome assembly and annotation was achieved by combining long‐read sequencing with high‐density genetic mapping, bacterial artificial chromosome fingerprinting and transcriptomics. We found that the 166.6 Mb B.g. tritici genome encodes 844 candidate effector genes, over 40% more than previously reported. Candidate effector genes have characteristic local genomic organization such as gene clustering and enrichment for recombination‐active regions and certain transposable element families. A large group of 412 candidate effector genes shows high plasticity in terms of copy number variation in a global set of 36 isolates and of transcription levels. Our data suggest that copy number variation and transcriptional flexibility are the main drivers for adaptation in B.g. tritici. The high repeat content may play a role in providing a genomic environment that allows rapid evolution of effector genes with selection as the driving force.
14	2	Keller, Beat	MNF	2019	Field grown transgenic Pm3e wheat lines show powdery mildew resistance and no fitness costs associated with high transgene expression. Pm3 from wheat encodes a nucleotide-binding leucine-rich repeat type of receptor and confers resistance to powdery mildew caused by the fungal pathogen Blumeria graminis f.sp. tritici (Bgt). Each of the 17 functional Pm3 alleles identified so far confers resistance to a distinct spectrum of Bgt isolates. Variant Pm3e has been found in wheat donor line W150 and differs only by two amino acids from the non-functional variant Pm3CS. In order to evaluate the capability of Pm3e to provide powdery mildew field resistance, we generated transgenic Pm3e lines by biolistic transformation of the powdery mildew susceptible spring wheat cultivar Bobwhite. Field trials conducted during four field seasons in Switzerland showed significant and strong powdery mildew resistance of the Pm3e transgenic lines, whereas the corresponding biological sister lines, not containing the transgene, were severely powdery mildew infected. Thus Pm3e alone is responsible for the strong resistance phenotype. The field grown transgenic lines showed high transgene expression and Pm3e protein accumulation with no fitness costs on plant development and yield associated with Pm3e abundance. Line E#1 as well as sister line E#1 showed delayed flowering due to somaclonal variation. The study shows the capability of Pm3e in providing strong powdery mildew field resistance, making its use in wheat breeding programs very promising.
16	2	Keller, Beat	MNF	2019	Genebank genomics highlights the diversity of a global barley collection. Genebanks hold comprehensive collections of cultivars, landraces and crop wild relatives of all major food crops, but their detailed characterization has so far been limited to sparse core sets. The analysis of genome-wide genotyping-by-sequencing data for almost all barley accessions of the German ex situ genebank provides insights into the global population structure of domesticated barley and points out redundancies and coverage gaps in one of the world’s major genebanks. Our large sample size and dense marker data afford great power for genome-wide association scans. We detect known and novel loci underlying morphological traits differentiating barley genepools, find evidence for convergent selection for barbless awns in barley and rice and show that a major-effect resistance locus conferring resistance to bymovirus infection has been favored by traditional farmers. This study outlines future directions for genomics-assisted genebank management and the utilization of germplasm collections for linking natural variation to human selection during crop evolution.
17	2	van der Heijden, Marcel	MNF	2018	Improvement of soil structure through organic crop management, conservation tillage and grass-clover ley. Conventional tillage is a widespread soil management practice that controls weeds and promotes nutrient mineralization at the expense of a degraded soil structure and soil carbon (C) loss. Although C dynamics and soil structure are widely recognized as pivotal to essential environmental and crop-related agroecosystem processes such as belowground C storage and crop root establishment, there is still a need to evaluate cropping practices most favorable for soil structure. For example, the effects on soil structure by continuous intensive tillage after a ley period remains unclear. To address these issues, we measured mean weight diameter, total C and total nitrogen (N) in whole soil and water-stable aggregate fractions after a 4-year arable crop rotation on a Cambisol where organic and conventional management was combined with intensive tillage and different types of conservation tillage. Measurements were repeated following a 2-year grass-clover ley period. Results showed that 4 years of organic management (including the application of cattle manure slurry) combined with reduced tillage significantly improved soil structure through increasing the proportion of large macroaggregates and hence the aggregate mean weight diameter (MWD) in the 0-6 cm soil layer. Although an increase in MWD after ley was observed in organic intensive tillage and a marginal increase in conventional intensive tillage, a significant increase in total C was observed only for the organic cropping systems, which also showed a high C stratification between 0-6 cm and 6-20 cm depth. Thus, a ley period enhances soil structure after continuous cropping under intensive tillage and when organic management is combined with reduced tillage. In conclusion, soil structure is best maintained when combining organic management with reduced tillage due to additive effects.
18	2	van der Heijden, Marcel G A	MNF	2018	A global meta-analysis of yield stability in organic and conservation agriculture. One of the primary challenges of our time is to enhance global food production and security. Most assessments in agricultural systems focus on plant yield. Yet, these analyses neglect temporal yield stability, or the variability and reliability of production across years. Here we perform a meta-analysis to assess temporal yield stability of three major cropping systems: organic agriculture and conservation agriculture (no-tillage) vs. conventional agriculture, comparing 193 studies based on 2896 comparisons. Organic agriculture has, per unit yield, a significantly lower temporal stability (−15%) compared to conventional agriculture. Thus, although organic farming promotes biodiversity and is generally more environmentally friendly, future efforts should focus on reducing its yield variability. Our analysis further indicates that the use of green manure and enhanced fertilisation can reduce the yield stability gap between organic and conventional agriculture. The temporal stability (−3%) of no-tillage does not differ significantly from those of conventional tillage indicating that a transition to no-tillage does not affect yield stability.
